Geography,Total Citizen Count,Total State Pop,Male: - 18+Native,Male: - 18 + Naturalized,Female: - 18 +Native,Female: - 18 + Naturalized
"D1, Alabama",524062,,246048,3321,268618,6075
"D2, Alabama",511032,,240563,2135,264404,3930
"D3, Alabama",535773,,252940,2470,276854,3509
"D4, Alabama",509401,,242520,2390,261623,2868
"D5, Alabama",531175,,252033,5101,267522,6519
"D6, Alabama",516381,,242354,3835,264853,5339
"D7, Alabama",519993,,233163,2384,282888,1558
"D1, Alaska",528578,,265838,14388,233338,15014
"D1, Arizona",529610,,254528,8769,256381,9932
"D2, Arizona",528478,,245709,15713,243569,23487
"D3, Arizona",463672,,202777,29897,196342,34656
"D4, Arizona",548649,,265264,10939,257647,14799
"D5, Arizona",527349,,237207,15771,253638,20733
"D6, Arizona",530111,,237488,15700,254620,22303
"D7, Arizona",528478,,159425,25985,169211,24552
"D8, Arizona",565705,,245294,16835,282570,21006
"D9, Arizona",522139,,251641,17881,233376,19241
"D1, Arkansas",546882,,264290,1925,278627,2040
"D2, Arkansas",556988,,261239,3437,287122,5190
"D3, Arkansas",529636,,247708,9746,260827,11355
"D4, Arkansas",536962,,257227,2509,273388,3838
"D1, California",548753,,262516,10391,264673,11173
"D2, California",521163,,236200,19951,241927,23085
"D3, California",488142,,211111,28853,212032,36146
"D4, California",537291,,250519,15516,252163,19093
"D5, California",500942,,202114,33892,225924,39012
"D6, California",478446,,187386,39843,207231,43986
"D7, California",520287,,213151,36602,223087,47447
"D8, California",473665,,212647,21451,215058,24509
"D9, California",459066,,186887,34796,197940,39443
"D10, California",449860,,190505,31418,195050,32887
"D11, California",486352,,190335,39762,206302,49953
"D12, California",553598,,213312,68471,189212,82603
"D13, California",507073,,193954,44782,213534,54803
"D14, California",489652,,164323,74052,162406,88871
"D15, California",466753,,166353,63899,166590,69911
"D16, California",394977,,162292,29685,172740,30260
"D17, California",425340,,128149,82443,118081,96667
"D18, California",477414,,188604,49244,181549,58017
"D19, California",464622,,160633,70406,154138,79445
"D20, California",426104,,183939,25384,187156,29625
"D21, California",351100,,164861,26424,136592,23223
"D22, California",456458,,190911,27779,209253,28515
"D23, California",484264,,219905,19947,222271,22141
"D24, California",497315,,225176,20565,229043,22531
