Name,Years.in.Office,Party,District,People.Who.Voted,Margin.of.Victory,Population
John Conyers.Jr,50,D,MI.D13,164191,63.6,495938
Don Young,42,R,AK.D1,242844,10.8,528578
Jim Sensenbrenner,36,R,WI.D5,331790,39,544525
Chris Smith,34,R,NJ.D4,170245,36.9,530881
Hal Rogers,34,R,KY.D5,218697,56.4,554986
Steny Hoyer,34,D,MD.D5,215735,28.2,541282
Marcy Kaptur,32,D,OH.D9,157130,35.4,535953
Sandy Levin,32,D,MI.D9,225745,24.3,542949
Joe Barton,30,R,TX.D6,150905,24.8,490781
Peter J. Visclosky,30,D,IN.D1,142321,24.9,529367
Fred Upton,28,R,MI.D6,208776,15.4,532716
John Lewis,28,D,GA.D5,0,0,548254
Lamar Smith,28,R,TX.D21,188778,56.7,572035
Louise Slaughter,28,D,NY.D25,185524,0.4,543462
Nancy Pelosi,28,D,CA.D12,180875,66.2,553598
Peter DeFazio,28,D,OR.D4,295281,20.5,604980
Dana Rohrabacher,26,R,CA.D48,168158,28.4,525186
Eliot Engel,26,D,NY.D16,0,0,476347
Ileana Ros-Lehtinen,26,R,FL.D27,0,0,420319
Jim McGovern,26,D,MA.D2,0,0,548488
John J. Duncan.Jr,26,R,TN.D2,166707,49.9,556327
Nita Lowey,26,D,NY.D17,165364,12.4,476041
Richard Neal,26,D,MA.D1,0,0,558877
Collin Peterson,26,D,MN.D7,240488,8.6,497748
Josh E. Serrano,24,D,NY.D15,53161,95.4,393754
Maxine Waters,24,D,CA.D43,85093,40,436117
Rosa L. DeLauro,24,D,CT.D3,207875,34.2,532198
Sam Johnson,24,R,TX.D3,137485,64,505636
Alcee L. Hastings,22,D,FL.D20,157117,63.2,464540
Anna Eshoo,22,D,CA.D18,177427,34.8,477414
Bob Goodlatte,22,R,WV.D6,176369,63,574651
Bobby L. Rush,22,D,IL.D1,209899,44.4,529357
Bobby Scott,22,D,WV.D3,0,0,562378
Carolyn B. Maloney,22,D,NY.D12,0,0,546242
Eddie Bernice Johnson,22,D,TX.D30,105716,81.1,446147
Edward Royce,22,R,CA.D39,126048,37.6,465162
Frank D. Lucas,22,R,OK.D3,169182,57.4,567792
Frank Pallone,22,D,NJ.D6,117916,21.1,485771
Gene Green,22,D,TX.D29,46047,79,344891
James E. Clyburn,22,D,SC.D6,171974,47.4,506992
Jerrold Nadler,22,D,NY.D10,94661,75.7,477982
Ken Calvert,22,R,CA.D42,107147,31.8,487120
Lucille Roybal-Allard,22,D,CA.D40,43351,23.2,308347
Luis V. Gutierrez,22,D,IL.D4,96723,55.8,374097
Nydia Vel_zquez,22,D,NY.D7,59871,80.1,436326
Peter T. King,22,R,NY.D2,133907,38.6,505740
Sanford Bishop.Jr,22,D,GA.D2,162689,18.2,525082
Frank LoBiondo,20,R,NJ.D2,170076,24.7,531299
Lloyd Doggett,20,D,TX.D35,96065,29.2,473168
Mac Thornberry,20,R,TX.D13,131225,71.5,489252
Michael F. Doyle,20,D,PA.D14,0,0,560817
Rodney Frelinghuysen,20,R,NJ.D11,173743,25.2,537183
Sheila Jackson Lee,20,D,TX.D18,105814,47,440331
Walter B. Jones,20,R,NC.D3,203855,35.6,574760
Zoe Lofgren,20,D,CA.D19,122883,35,464622
Elijah Cummings,19,D,MD.D7,196408,42.3,540296
Adam Smith,18,D,WA.D9,151932,46,466510
Brad Sherman,18,D,CA.D30,110362,30,517683
Danny K. Davis,18,D,IL.D7,171502,70,519878
David Price,18,D,NC.D4,224797,49.4,558908
Diana DeGette,18,D,CO.D1,266021,36.5,553156
Earl Blumenauer,18,D,OR.D3,264163,53.5,589878
John Shimkus,18,R,IL.D15,221138,50,541047
Kay Granger,18,R,TX.D12,158610,45,521689
Kevin Brady,18,R,TX.D8,139827,78.6,522996
Robert Aderholt,18,R,AL.D4,0,0,509541
Ron Kind,18,D,WI.D3,273890,13.4,556346
Robert Brady,17,D,PA.D1,155253,65.8,503068
Barbara Lee,16,D,CA.D13,187938,76.8,507073
Grace Napolitano,16,D,CA.D32,75022,18.6,451112
Greg Walden,16,R,OR.D2,279378,45.2,579172
Jan Schakowsky,16,D,IL.D9,203946,31.4,501278
John Larson,16,D,CT.D1,217244,26.1,515530
Joseph Crowley,16,D,NY.D14,53688,76.4,411397
Michael Capuano,16,D,MA.D7,0,0,515582
Michael K. Simpson,16,R,ID.D2,214193,22.8,547095
Mike Thompson,16,D,CA.D5,128496,51.6,500942
Paul Ryan,16,R,WI.D1,287583,26.6,530360
Patrick J. Tiberi,15,R,OH.D12,216816,40.5,555693
Adam Schiff,14,D,CA.D28,102274,52,493287
Bill Shuster,14,R,PA.D9,170780,27.2,547942
Darrell Issa,14,R,CA.D49,156678,20.4,503044
Jim Langevin,14,D,RI.D2,168995,24.6,399286
Joe Wilson,14,R,SC.D2,193968,27.3,507628
John Culberson,14,R,TX.D7,142896,28.8,446836
Rick Larsen,14,D,WA.D2,194405,21.4,516484
Sam Graves,14,R,MO.D6,186818,37.1,572224
Stephen Lynch,14,D,MA.D8,0,0,554242
Susan Davis,14,D,CA.D53,142566,17.5,527095
William Lacy Clay,14,D,MO.D1,161806,51.3,559036
David Scott,12,D,GA.D13,0,0,491091
Devin Nunes,12,R,CA.D22,111090,44.6,456458
