Name,Years.in.Office,Party,District,People.Who.Voted,Margin.of.Victory
John Conyers.Jr,52,D,MI.D13,256034,61.2
Don Young,44,R,AK.D1,248775,14
Jim Sensenbrenner,38,R,WI.D5,390496,14.4
Chris Smith,36,R,NJ.D4,323362,30.2
Hal Rogers,36,R,KY.D5,0,0
Steny Hoyer,36,D,MD.D5,332383,37.6
Marcy Kaptur,34,D,OH.D9,274237,37
Sandy Levin,34,D,MI.D9,344701,20.5
Joe Barton,32,R,TX.D6,272895,16.7
Peter J. Visclosky,32,D,IN.D1,254308,63
Fred Upton,30,R,MI.D6,329026,22.2
John Lewis,30,D,GA.D5,285805,69.2
Lamar Smith,30,R,TX.D21,354994,14.1
Louise Slaughter,30,D,NY.D25,303484,11.6
Nancy Pelosi,30,D,CA.D12,308955,62%
Peter DeFazio,30,D,OR.D4,389869,15.7
Dana Rohrabacher,28,R,CA.D48,283703,25
Eliot Engel,28,D,NY.D16,203511,89.4
Ileana Ros-Lehtinen,28,R,FL.D27,287311,9.8
Jim McGovern,28,D,MA.D2,0,0
John J. Duncan.Jr,28,R,TN.D2,280686,51.2
Nita Lowey,28,D,NY.D17,0,0
Richard Neal,28,D,MA.D1,317963,55.4
Collin Peterson,26,D,MND7,330521,5
José E. Serrano,26,D,NY.D15,157563,91.6
Maxine Waters,26,D,CA.D43,170058,51.2
Rosa L. DeLauro,26,D,CT.D3,304270,37.4
Sam Johnson,26,R,TX.D3,315144,22.6
Alcee L. Hastings,24,D,FL.D20,274531,60.6
Anna Eshoo,24,D,CA.D18,309046,42.4
Bob Goodlatte,24,R,WV.D6,335614,33.4
Bobby L. Rush,24,D,IL.D1,301712,46.8
Bobby Scott,24,D,WV.D3,298795,33.8
Carolyn B. Maloney,24,D,NY.D12,264146,66
Eddie Bernice Johnson,24,D,TX.D30,218061,55.8
Edward Royce,24,R,CA.D39,240558,15.4
Frank D. Lucas,24,R,OK.D3,290284,56.6
Frank Pallone,24,D,NJ.D6,239815,27.3
Gene Green,24,D,TX.D29,131809,45
James E. Clyburn,24,D,SC.D6,255640,42.6
Jerrold Nadler,24,D,NY.D10,219816,55
Ken Calvert,24,R,CA.D42,237038,18
Lucille Roybal-Allard,24,D,CA.D40,115193,43.8
Luis V. Gutierrez,24,D,IL.D4,0,0
Nydia Velázquez,24,D,NY.D7,175227,81.4
Peter T. King,24,R,NY.D2,275558,24.8
Sanford Bishop.Jr,24,D,GA.D2,239676,22
Frank LoBiondo,22,R,NJ.D2,282535,22.3
Lloyd Doggett,22,D,TX.D35,196921,26.1
Mac Thornberry,22,R,TX.D13,220854,79.9
Michael F. Doyle,22,D,PA.D14,340043,48.6
Rodney Frelinghuysen,22,R,NJ.D11,331104,19.5
Sheila Jackson Lee,22,D,TX.D18,204014,47
Walter B. Jones,22,R,NC.D3,318857,34.8
Zoe Lofgren,22,D,CA.D19,232108,48
Elijah Cummings,21,D,MD.D7,282244,53.2
Adam Smith,20,D,WA.D9,255785,46
Brad Sherman,20,D,CA.D30,220839,44.8
Danny K. Davis,20,D,IL.D7,276574,68
David Price,20,D,NC.D4,403832,36.4
Diana DeGette,20,D,CO.D1,279947,39.4
Earl Blumenauer,20,D,OR.D3,352976,52.3
John Shimkus,20,R,IL.D15,0,0
Kay Granger,20,R,TX.D12,282855,38.9
Kevin Brady,20,R,TX.D8,0,0
Robert Aderholt,20,R,AL.D4,0,0
Ron Kind,20,D,WI.D3,0,0
Robert Brady,19,D,PA.D1,289398,64.4
Barbara Lee,18,D,CA.D13,305803,81.4
Grace Napolitano,18,D,CA.D32,149109,24.8
Greg Walden,18,R,OR.D2,370562,44.2
Jan Schakowsky,18,D,IL.D9,309754,31.6
John Larson,18,D,CT.D1,303537,29.3
Joseph Crowley,18,D,NY.D14,162935,65.2
Michael Capuano,18,D,MA.D7,0,0
Michael K. Simpson,18,R,ID.D2,331712,33.7
Mike Thompson,18,D,CA.D5,223905,54.4
Paul Ryan,18,R,WI.D1,353848,30
Patrick J. Tiberi,17,R,OH.D12,366273,36.7
Adam Schiff,16,D,CA.D28,215701,55.8
Bill Shuster,16,R,PA.D9,289756,26.8
Darrell Issa,16,R,CA.D49,263528,2
Jim Langevin,16,D,RI.D2,27.4,16.4
Joe Wilson,16,R,SC.D2,304690,24.4
John Culberson,16,R,TX.D7,255143,12.4
Rick Larsen,16,D,WA.D2,305499,28
Sam Graves,16,R,MO.D6,347779,39.8
Stephen Lynch,16,D,MA.D8,370090,44.8
Susan Davis,16,D,CA.D53,73806,32.2
William Lacy Clay,16,D,MO.D1,306810,55.5
David Scott,14,D,GA.D13,0,0
Devin Nunes,14,R,CA.D22,210135,36.6
Dutch Ruppersberger,14,D,MD.D2,276953,28.9
Jeb Hensarling,14,R,TX.D5,192460,61.2
Jim Cooper,14,D,TN.D5,272949,25
John Carter,14,R,TX.D31,283859,16.7
Linda Sanchez,14,D,CA.D38,187982,39.4
Marsha Blackburn,14,R,TN.D7,275805,48.7
Michael C. Burgess,14,R,TX.D26,317001,32.7
Michael R. Turner,14,R,OH.D10,326666,32
Mike Rogers,14,R,AL.D3,284291,34.2
Pete Sessions,14,R,TX.D32,228201,42.2
Raul Grijalva,14,D,AZ.D3,0,0
Rob Bishop,14,R,UT.D1,240311,38.2
Steve King,14,R,IA.D4,367860,22.8
Tim Murphy,14,R,PA.D18,0,0
Tim Ryan,14,D,OH.D13,300742,35.2
Tom Cole,14,R,OK.D4,292870,43.5
Trent Franks,14,R,AZ.D8,241556,37.2
Emanuel Cleaver,13,D,MO.D5,317455,19.9
G.K. Butterfield,13,D,NC.D1,346830,39.6
Al Green,12,D,TX.D9,188338,61.2
Brian Higgins,12,D,NY.D26,260206,48.8
Cathy McMorris Rodgers,12,R,WA.D5,286821,19
Charles W. Dent,12,R,PA.D15,316105,20.4
Daniel Lipinski,12,D,IL.D3,0,0
Dave Reichert,12,R,WA.D8,290997,20
Debbie Wasserman Schultz,12,D,FL.D23,319314,16.2
Doris Matsui,12,D,CA.D6,193630,50.4
Gwen Moore,12,D,WI.D4,286069,54
Henry Cuellar,12,D,TX.D28,184270,32.4
Jeffrey Fortenberry,12,R,NE.D1,269197,39.2
Jim Costa,12,D,CA.D16,124681,15.6
Kenny Marchant,12,R,TX.D24,274525,12.4
"Louis B. ""Louie"" Gohmert Jr",12,R,TX.D1,259745,47.9
Michael McCaul,12,R,TX.D10,311828,14.8
Mike Conaway,12,R,TX.D11,225089,79
Patrick T. McHenry,12,R,NC.D10,347703,26.4
Ted Poe,12,R,TX.D2,277891,21.3
Tom Price,12,R,GA.D6,311328,23.2
Virginia Foxx,12,R,NC.D5,350540,17
Adrian Smith,10,R,NE.D3,0,0
Robert E. Latta,10,R,OH.D5,338081,42
Dave Loebsack,10,D,IA.D2,368331,7.4
Doug Lamborn,10,R,CO.D5,356062,31.6
Ed Perlmutter,10,D,CO.D7,335283,15.2
Gus M. Bilirakis,10,R,FL.D12,369256,37.2
Hank Johnson,10,D,GA.D4,283353,51.2
Jerry McNerney,10,D,CA.D9,184377,15.2
Jim Jordan,10,R,OH.D4,302003,36.2
Joe Courtney,10,D,CT.D2,329519,29.1
John Sarbanes,10,D,MD.D3,309419,28.3
John A. Yarmuth,10,D,KY.D3,334473,27
Kathy Castor,10,D,FL.D14,315435,23.6
Keith Ellison,10,D,MN.D5,361376,46.9
Kevin McCarthy,10,R,CA.D23,216188,40
Niki Tsongas,10,D,MA.D3,341243,37.4
Peter J. Roskam,10,R,IL.D6,345769,19
Peter Welch,10,D,VT.D1,292726,80
Rob Wittman,10,R,WV.D1,364296,25.1
Steve Cohen,10,D,TN.D9,215656,60
Tim Walz,10,D,MN.D1,335603,0.8
Vern Buchanan,10,R,FL.D16,385041,19.6
Yvette D. Clarke,10,D,NY.D9,216883,84.6
Andre Carson,9,D,IN.D7,264472,24.3
Jackie Speier,9,D,CA.D14,314582,61.8
Steve Scalise,9,R,LA.D1,326660,61.8
Ben Ray Lujan,8,D,NM.D3,268377,25
Betty McCollum,8,D,MN.D4,350538,23.3
Bill Posey,8,R,FL.D8,390143,30.6
Blaine Luetkemeyer,8,R,MO.D3,366856,39.9
Brett Guthrie,8,R,KY.D2,0,0
