Name,Years.in.office,Party,State,Term.ends,People.Who.Voted,Margin.of.Victory,Voted.In,Total.Pop,Percent.of.Total.Pop
Patrick.Leahy,42,D,VT,2022,312897,28.3,2016,,#DIV/0!
Orrin.Hatch,40,R,UT,2018,914924,35,2012,,#DIV/0!
Thad.Cochran,39,R,MS,2020,612842,23,2014,2223197,0.275657983
Chuck.Grassley,36,R,IA,2022,1533850,24.5,2016,,#DIV/0!
Mitch.McConnell,32,R,KY,2020,1391494,15.5,2014,3307601,0.420695846
John.McCain,30,R,AZ,2022,2041017,6.8,2016,,#DIV/0!
Richard.Shelby,30,R,AL,2022,2060726,18.4,2016,,#DIV/0!
Dianne.Feinstein,24,D,CA,2018,10619352,23.2,2012,23798857,0.44621269
Patty.Murray,24,D,WA,2022,2986088,18.2,2016,,#DIV/0!
Jim.Inhofe,22,R,OK,2020,819679,39.5,2014,2787315,0.294074764
Ron.Wyden,21,D,OR,2022,1831498,23.1,2016,,#DIV/0!
Dick.Durbin,20,D,IL,2020,3485566,10,2014,9050931,0.385105797
Jack.Reed,20,D,RI,2020,315165,41.4,2014,779592,0.404269156
Mike.Enzi,20,R,WY,2020,165354,54.7,2014,432453,0.382362939
Pat.Roberts,20,R,KS,2020,844874,10.8,2014,2067673,0.408611033
Susan.Collins,20,R,ME,2020,600864,36.8,2014,1052142,0.571086412
Chuck.Schumer,18,D,NY,2022,6799540,43,2016,,#DIV/0!
Mike.Crapo,18,R,ID,2022,677091,38.3,2016,,#DIV/0!
Bill.Nelson,17,D,FL,2018,8186871,13,2012,13661810,0.599252295
Debbie.Stabenow,16,D,MI,2018,4636815,20.8,2012,,#DIV/0!
Maria.Cantwell,16,D,WA,2018,2849724,20.4,2012,,#DIV/0!
Tom.Carper,16,D,DE,2018,399559,37.4,2012,676110,0.590967446
John.Cornyn,14,R,TX,2020,4637374,27.2,2014,15625176,0.296788593
Lamar.Alexander,14,R,TN,2020,1372928,30.1,2014,4873232,0.28172843
Lindsey.Graham,14,R,SC,2020,1221823,15.6,2014,3618979,0.337615388
Lisa.Murkowski,14,R,AK,2022,251644,14.8,2016,,#DIV/0!
John.Thune,12,R,SD,2022,369619,43.6,2016,,#DIV/0!
Johnny.Isakson,12,R,GA,2022,3885657,14.2,2016,,#DIV/0!
Richard.Burr,12,R,NC,2022,4639177,5.8,2016,,#DIV/0!
Bob.Menendez,11,D,NJ,2018,3111072,18.7,2012,,#DIV/0!
Amy.Klobuchar,10,D,MN,2018,2843400,34.7,2012,,#DIV/0!
Ben.Cardin,10,D,MD,2018,2417279,28.7,2012,,#DIV/0!
Bernie.Sanders,10,I,VT,2018,291848,46.3,2012,,#DIV/0!
Bob.Casey.Jr,10,D,PA,2018,5491381,8.9,2012,,#DIV/0!
Bob.Corker,10,R,TN,2018,2274688,34.5,2012,,#DIV/0!
Claire.McCaskill,10,D,MO,2018,2713372,15.5,2012,,#DIV/0!
John.Barrasso,10,R,WY,2018,243265,54.3,2012,,#DIV/0!
Jon.Tester,10,D,MT,2018,481453,3.9,2012,,#DIV/0!
Roger.Wicker,10,R,MS,2018,1173198,17.1,2012,,#DIV/0!
Sheldon.Whitehouse,10,D,RI,2018,440307,29.6,2012,,#DIV/0!
Sherrod.Brown,10,D,OH,2018,5258233,5.2,2012,,#DIV/0!
Al.Franken,8,D,MN,2020,1980016,10.3,2014,3987255,0.496586248
Jeanne.Shaheen,8,D,NH,2020,485568,3.2,2014,1027249,0.472687732
Jeff.Merkley,8,D,OR,2020,1334458,18.5,2014,2898531,0.460391143
Jim.Risch,8,R,ID,2020,437019,30.6,2014,1148430,0.380536036
Kirsten.Gillibrand,8,D,NY,2018,5859496,45.2,2012,,#DIV/0!
Mark.Warner,8,D,VA,2020,2179235,0.8,2014,6002909,0.363029824
Michael.Bennet,8,D,CO,2022,2528788,3.7,2016,,#DIV/0!
Tom.Udall,8,D,NM,2020,505780,10.8,2014,1466754,0.344829467
Chris.Coons,7,D,DE,2020,234024,13.6,2014,694388,0.337021953
Joe.Manchin.III,7,D,WV,2018,651588,24,2012,,#DIV/0!
Dean.Heller,6,R,NV,2018,994244,1.2,2012,,#DIV/0!
Jerry.Moran,6,R,KS,2022,1148761,30.3,2016,,#DIV/0!
John.Boozman,6,R,AR,2022,1099546,23.6,2016,,#DIV/0!
John.Hoeven,6,R,ND,2022,341122,61.6,2016,,#DIV/0!
Marco.Rubio,6,R,FL,2022,9270422,7.7,2016,,#DIV/0!
Mike.Lee,6,R,UT,2022,970511,40.6,2016,,#DIV/0!
Pat.Toomey,6,R,PA,2022,5918063,1.7,2016,,#DIV/0!
Rand.Paul,6,R,KY,2022,1903373,14.6,2016,,#DIV/0!
Richard.Blumenthal,6,D,CT,2022,1567124,28,2016,,#DIV/0!
Rob.Portman,6,R,OH,2022,5227520,21.4,2016,,#DIV/0!
Ron.Johnson,6,R,WI,2022,2947049,3.4,2016,,#DIV/0!
Roy.Blunt,6,R,MO,2022,2776136,3.2,2016,,#DIV/0!
Brian.E..Schatz,5,D,HI,2022,392840,51.4,2016,,#DIV/0!
Angus.King,4,I,ME,2018,690275,22.1,2012,,#DIV/0!
Christopher.S.Murphy,4,D,CT,2018,1477817,12,2012,2559459,0.577394285
Cory.Booker,4,D,NJ,2020,1822635,13.4,2014,6104758,0.298559746
Deb.Fischer,4,R,NE,2018,763249,16.4,2012,,#DIV/0!
Ed.Markey,4,D,MA,2020,2075114,24,2014,4892777,0.424117837
Elizabeth.Warren,4,D,MA,2018,3127588,7.4,2012,,#DIV/0!
Heidi.Heitkamp,4,D,ND,2018,318510,1,2012,,#DIV/0!
Jeff.Flake,4,R,AZ,2018,2059710,3.9,2012,4445879,0.463285213
Joe.Donnelly,4,D,IN,2018,2541692,5.6,2012,,#DIV/0!
Martin.Heinrich,4,D,NM,2018,763922,5.6,2012,,#DIV/0!
Mazie.K.Hirono,4,D,HI,2018,425437,25.2,2012,989442,0.429976694
Tammy.Baldwin,4,D,WI,2018,2999762,5.6,2012,,#DIV/0!
Ted.Cruz,4,R,TX,2018,7869186,16.1,2012,16511801,0.476579508
Tim.Kaine,4,D,VA,2018,3703849,5,2012,,#DIV/0!
Tim.Scott,4,R,SC,2022,2029830,23.5,2016,,#DIV/0!
Ben.Sasse,2,R,NE,2020,524369,33.7,2014,1342420,0.390614711
Bill.Cassidy,2,R,LA,2020,1273589,11.8,2014,3429256,0.371389304
Cory.Gardner,2,R,CO,2020,1991607,2.5,2014,3811144,0.522574587
Daniel.S.Sullivan,2,R,AK,2020,244998,3.2,2014,528578,0.463503967
David.Perdue,2,R,GA,2020,2558710,7.9,2014,7068546,0.361985336
Gary.Peters,2,D,MI,2020,3103330,13.2,2014,7413481,0.41860632
James.Lankford,2,R,OK,2022,1446141,43.1,2016,,#DIV/0!
Joni.Ernst,2,R,IA,2020,1124245,8.5,2014,2295384,0.489785151
Mike.Rounds,2,R,SD,2020,270857,20.9,2014,631691,0.428780844
Shelley.Moore.Capito,2,R,WV,2020,450931,27.6,2014,1455865,0.309734076
Steve.Daines,2,R,MT,2020,364176,17.9,2014,787794,0.462273132
Thom.Tillis,2,R,NC,2020,2886210,1.7,2014,7202748,0.400709563
Tom.Cotton,2,R,AR,2020,842798,17,2014,2170468,0.388302431
Catherine.Cortez.Masto,0,D,NV,2022,1106020,2.4,2016,,#DIV/0!
Chris.Van.Hollen,0,D,MD,2022,2466499,24,2016,,#DIV/0!
John.Neely.Kennedy,0,R,LA,2022,1932481,7.5,2016,,#DIV/0!
Kamala.D.Harris,0,D,CA,2022,10414393,24.8,2016,,#DIV/0!
Luther.J.Strange.III,0,R,AL,2022,1167901,17,2016,,#DIV/0!
Maggie.Hassan,0,D,NH,2022,738483,0.1,2016,,#DIV/0!
Tammy.Duckworth,0,D,IL,2022,5344495,14.2,2016,,#DIV/0!
Todd.C.Young,0,R,IN,2022,2730165,9.7,2016,,#DIV/0!
